Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
Faskure 309VFT,305616,208,340,NA,NA,NA,NA,NA,NA,NA,NA
Faskure 355FT,305370,206,458,NA,NA,NA,3.75,NA,NA,NA,NA
Faskure 356VFTP,305439,207,460,635,59.2,55.1,4.04,NA,NA,NA,NA
Faskure 358FT-4,332905,213,374,NA,77.4,NA,3.66,NA,NA,Yes,NA
Faskure 40B+15%Z,308456,210,594,NA,NA,NA,NA,Yes,NA,NA,NA
Faskure 50BVFTPEZ,357666,221,538,606,NA,NA,5.85,Yes,Yes,NA,NA
PlastiSand 160E0,305222,214,NA,369,NA,51.2,6.3,NA,NA,NA,NA
PlastiSand 67Z/G11G4S,325374,208,541,611,105.5,NA,2.85,NA,NA,Yes,NA
PlastiSand 812-BE,305256,231,280,383,NA,71.1,2.74,NA,NA,NA,NA
PlastiSand 812AI,305269,221,218,334,NA,NA,2.17,NA,NA,NA,NA
PlastiSand 821-CE2,305263,226,414,NA,NA,NA,NA,NA,NA,Yes,NA
PlastiSand AH37D1W,305678,219,206,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand B10A,307052,216,229,325,46.7,NA,1.78,NA,NA,NA,NA
PlastiSand BKNA,305264,211,378,575,NA,NA,4.17,NA,NA,Yes,NA
PlastiSand C19M1246S,326085,226,308,498,55,NA,4.36,NA,NA,Yes,NA
PlastiSand D15L17,305393,227,581,NA,NA,NA,NA,NA,NA,NA,NA
PlastiSand E/J10G17A,305285,213,361,465,67.7,NA,4.16,Yes,NA,Yes,NA
PlastiSand E85J12468,305467,207,254,438,61,NA,3.56,NA,NA,Yes,NA
